street-custodian	local-authority
5630	local-authority-eng:KTT
5660	local-authority-eng:LBH
5690	local-authority-eng:LEW
5720	local-authority-eng:MRT
5750	local-authority-eng:NWM
5780	local-authority-eng:RDB
5810	local-authority-eng:RIC
5840	local-authority-eng:SWK
5870	local-authority-eng:STN
5900	local-authority-eng:TWH
5930	local-authority-eng:WFT
5960	local-authority-eng:WND
5990	local-authority-eng:WSM
6805	local-authority-wls:AGY
6810	local-authority-wls:GWN
6815	local-authority-wls:CRF
6820	local-authority-wls:CGN
6825	local-authority-wls:CMN
6830	local-authority-wls:DEN
6835	local-authority-wls:FLN
6840	local-authority-wls:MON
6845	local-authority-wls:PEM
6850	local-authority-wls:POW
6855	local-authority-wls:SWA
6905	local-authority-wls:CWY
6910	local-authority-wls:BGW
6915	local-authority-wls:BGE
6920	local-authority-wls:CAY
6925	local-authority-wls:MTY
6930	local-authority-wls:NTL
6935	local-authority-wls:NWP
6940	local-authority-wls:RCT
6945	local-authority-wls:TOF
6950	local-authority-wls:VGL
6955	local-authority-wls:WRX
9000	local-authority-sct:ORK
9010	local-authority-sct:ZET
9020	local-authority-sct:ELS
9051	local-authority-sct:ABE
9052	local-authority-sct:ABD
9053	local-authority-sct:ANS
9054	local-authority-sct:AGB
9055	local-authority-sct:SCB
9056	local-authority-sct:CLK
9057	local-authority-sct:WDU
9058	local-authority-sct:DGY
9059	local-authority-sct:DND
9060	local-authority-sct:EAY
9061	local-authority-sct:EDU
9062	local-authority-sct:ELN
9063	local-authority-sct:ERW
9064	local-authority-sct:EDH
9065	local-authority-sct:FAL
9066	local-authority-sct:FIF
9067	local-authority-sct:GLG
9068	local-authority-sct:HLD
9069	local-authority-sct:IVC
9070	local-authority-sct:MLN
9071	local-authority-sct:MRY
9072	local-authority-sct:NAY
9073	local-authority-sct:NLK
9074	local-authority-sct:PKN
9075	local-authority-sct:RFW
9076	local-authority-sct:SAY
9077	local-authority-sct:SLK
9078	local-authority-sct:STG
9079	local-authority-sct:WLN
